player_id,name,url,position,score,hometown,offers,state
260,Miles Zietek,https://247sports.com/player/miles-zietek-46083166/high-school,OT ,0.8281," Germany (Germany, GERM)    ","['Temple', 'Mercer', 'Massachusetts']",GE
261,Nick Bagashvili,https://247sports.com/player/nick-bagashvili-46080390/high-school,DT ,0.8263," Tottenville (Staten Island, NY)    ","['Temple', 'Rutgers', 'Albany', 'Bowling Green', 'Buffalo', 'Central Michigan', 'FIU', 'Kent State', 'Massachusetts', 'Monmouth', 'Toledo', 'Towson', 'Western Michigan', 'Boston College', 'Connecticut', 'Delaware', 'James Madison', 'Kent State', 'Monmouth', 'Virginia Tech', 'Wake Forest']",NY
262,Trey Blair,https://247sports.com/player/trey-blair-46079296/high-school,ATH ,0.8236," Haverford (Havertown, PA)    ","['Temple', 'Buffalo', 'Akron', 'Army', 'Delaware', 'Elon', 'Fordham', 'Holy Cross', 'Lafayette', 'Lehigh', 'Massachusetts', 'Robert Morris']",PA
263,Muheem McCargo,https://247sports.com/player/muheem-mccargo-46052302/high-school,RB ,0.8212," Woodrow Wilson (Camden, NJ)    ","['Temple', 'Baylor', 'Boston College', 'Buffalo', 'Cincinnati', 'Kent State', 'Massachusetts', 'NC State', 'Old Dominion', 'Rutgers', 'Syracuse', 'Western Michigan', 'Wisconsin']",NJ
276,Hayden Burton,https://247sports.com/player/hayden-burton-46038961/high-school,OT ,0.8290000000000001," Mississippi Gulf Coast C.C. (Perkinston, MS)    ","['Jackson State', 'Mississippi State']",MS
277,Jamie Sheriff,https://247sports.com/player/jamie-sheriff-46086470/high-school,SDE ,0.8263," Mississippi Gulf Coast C.C. (Perkinston, MS)    ",[],MS
278,D'ezekius Chapman,https://247sports.com/player/dezekius-chapman-46084235/high-school,DT ,0.8156," Pearl River C.C. (Poplarville, MS)    ",,MS
279,CJ Thompson,https://247sports.com/player/cj-thompson-92838/high-school,S ,0.8125," Northeastern Oklahoma A&M (Miami, OK)    ",[],OK
280,Darrell Luter,https://247sports.com/player/darrell-luter-46085644/high-school,CB ,0.8075," Pearl River C.C. (Poplarville, MS)  ",,MS
281,Dewayne Betts,https://247sports.com/player/dewayne-betts-90360/high-school,ATH ,0.8075," Coahoma C.C. (Clarksdale, MS)      ","['Mississippi Valley State', 'Kansas State', 'Alcorn State', 'Southern Miss']",MS
