player_id,name,team,url,position,score,hometown,state
190,Mark Crawford,Minnesota,https://247sports.com/player/mark-crawford-46097530/high-school,P ,0.7996,Australia,AU
191,Daniel Jackson,Minnesota,https://247sports.com/player/daniel-jackson-46051925,WR ,0.8982,Mission,KS
192,Itayvion Brown,Minnesota,https://247sports.com/player/itayvion-brown-46053818,OLB ,0.8977,Saint Louis,MO
193,Jah Joyner,Minnesota,https://247sports.com/player/jah-joyner-46081549,WDE ,0.8748,Danbury,CT
194,Jonathan Mann,Minnesota,https://247sports.com/player/jonathan-mann-46050491,WR ,0.8668,Rosemount,MN
195,Douglas Emilien,Minnesota,https://247sports.com/player/douglas-emilien-46051391,WR ,0.8652,Fort Lauderdale,FL
196,Danny Striggow,Minnesota,https://247sports.com/player/danny-striggow-46082856,WDE ,0.8652,Long Lake,MN
197,Jalen Logan-Redding,Minnesota,https://247sports.com/player/jalen-logan-redding-46056509,WDE ,0.8647,Columbia,MO
198,Martes Lewis,Minnesota,https://247sports.com/player/martes-lewis-46080445,OT ,0.8639,Merrillville,IN
199,Michael Dixon,Minnesota,https://247sports.com/player/michael-dixon-46082608,S ,0.8626,Statesboro,GA
200,Lucas Finnessy,Minnesota,https://247sports.com/player/lucas-finnessy-46058678,OLB ,0.8586,Sussex,WI
201,Aireontae Ersery,Minnesota,https://247sports.com/player/aireontae-ersery-46082414,OT ,0.8551,Kansas City,MO
202,Jalen Glaze,Minnesota,https://247sports.com/player/jalen-glaze-46054233,CB ,0.8506,Tallahassee,FL
203,Ali Saad,Minnesota,https://247sports.com/player/ali-saad-46059218,DT ,0.8498,Dearborn,MI
204,Miles Fleming,Minnesota,https://247sports.com/player/miles-fleming-46079775,ATH ,0.8484,Columbus,OH
205,Victor Pless,Minnesota,https://247sports.com/player/victor-pless-46048136,ATH ,0.841,Kennesaw,GA
206,Austin Henderson,Minnesota,https://247sports.com/player/austin-henderson-46080942,TE ,0.8356,Nashville,TN
207,Charles Bell VI,Marshall,https://247sports.com/player/charles-bell-vi-46055833,S ,0.8606,Gaithersburg,MD
208,JJ Davis,Marshall,https://247sports.com/player/jj-davis-46082376,RB ,0.8519,Bluefield,WV
209,Emmanuel Balogun,Marshall,https://247sports.com/player/emmanuel-balogun-46097590,DT ,0.82,Fork Union,VA
210,Eli Sammons,Marshall,https://247sports.com/player/eli-sammons-46055126,PRO ,0.8146,Greenup,KY
